Private discount rate (min) [%],Private discount rate (max) [%],Social discount rate (min) [%],Social discount rate (max) [%],Non-specified type of iscount rate (min) [%],Non-specified type of discount rate (max) [%],Time horizon [years],Authors,Year,Author and year,Study,Notes,Local analysis,
4,4,4,4,,,40,Carter & Keeler,2008,Carter & Keeler (2008),Life-cycle cost-benefit analysis of extensive vegetated roof systems,"commercial buildings: Although the whole area included commercial and residential buildings most savings came from commercial buildings, and a figurE of savings for commercial buildings was used (p.8 top left).
Growing media depth: 7.62 cm",,
,,,,,,20,Ascione et al.,2013,Ascione et al. (2013),Green roofs in European climates. Are effective solutions for the energy savings in air-conditioning?,"€ values concerned with the UK were converted to £ with the market exchange rate in 2016 (0.8113 MYR/$. Source: https://www.exchangerates.org.uk/EUR-GBP-spot-exchange-rates-history-2012.html#:~:text=This%20is%20the%20Euro%20(EUR,GBP%20on%2022%20Jul%202012.), before the inflation correction and the PPP conversion to 2020 EU27 €.",,yes
9,9,4,4,,,50,Claus & Rousseau,2012,Claus & Rousseau (2012),Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,"Maintenance cost: includes water sampling costs to determine the water quality
Installation costs: includes regulatory costs to gather taxes needed for incentive
Substrate layer depth: 4-5 cm
sound insulation benefits: are only attributed to the highest floor, explaining the low value
regulatory costs: yearly water sampling costs, due to a Belgian water quality regulation",x,
8,15,,,,,50,Mahdiyar et al.,2016,Mahdiyar et al. (2016),Probabilistic private cost-benefit analysis for green roof installation: A  monte carlo simulation approach,"$ values were converted to MYR currency with the market exchange rate in 2016 (4.037 MYR/$. Source: https://www.exchange-rates.org/Rate/USD/MYR/1-1-2016), before the inflation correction and the PPP conversion to 2020 EU27 €. Such an exhange was also performed from MYR to $ by the article authors.",,yes
,,2,8,,,55,Bianchini & Hewage,2012,Bianchini & Hewage (2012),Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,,x,
,,,,,,40,Bianchini & Hewage,2012,Bianchini & Hewage (2012),Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,,,yes
3,3,,,,,25,McRae,2016,McRae (2016),Case study: A conservative approach to green roof benefit quantification and valuation for public buildings,,,yes
,,,,5,5,40,Clark et al. ,2008,Clark et al. (2008),Green roof valuation: a probabilisitc economic analysis of environmental benefits,Extensive roof depth: 5-15 cm,,yes
3.5,3.5,,,,,50,Perini & Rosasco,2016,Perini & Rosasco (2016),Is greening the building envelope economically sustainable? An analysis to evaluate the advantages of economy of scope of vertical green systems and green roofs,,,yes
,,,,,,10,Gwak et al.,2017,Gwak et al. (2017),Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects. ,"$ values were converted to KRW currency with the market exchange rate in 2016 (1207.36 KRW/$. Source: https://www.exchange-rates.org/Rate/USD/KRW/12-30-2016) and 1994 (794.814 KRW/$. Source: https://www.ceicdata.com/en/indicator/korea/exchange-rate-against-usd), before the inflation correction and the PPP conversion to 2020 EU27 €.",,yes
5,5,,,,,25,Statler et al.,2017,Statler et al. (2017),"Optimizing angles of rooftop photovoltaics, ratios of solar to vegetated roof systems, and economic benefits, in Portland, Oregon, USA
growing media depth: 5 cm",,,yes
,,4,4,,,50,Machac et al.,2016,Machac et al. (2016),"Green and Blue Infrastructure: An Opportunity for Smart Cities
substrate thickness: 8 cm",,x,
