Related green roof,Related PV panel,Season,Building type,Base case roof,Insulation,Roof slope,Item,Cost or benefit scale,Cost or benefit type,Item value,npv,u.m.,Method for monetary value,CBA Time Horizon [years],Years during which benefit or cost is accounted,Climate,Continent,Country,City,Item type
Extensive green roof,,annual average,residential,black roof,any,any,Urban heat island effect mitigation,urban,socio-environmental,0.1,-7,2017 €/m2,Avoided cost,40,0-15,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,annual average,residential,black roof,any,any,Flood risk control,urban,socio-environmental,0.005,-3,2017 €/m2,,40,all years,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,annual average,residential,black roof,any,any,Stormwater management,urban,socio-environmental,0.002,0,2017 €/m2,Avoided cost,40,all years,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,annual average,residential,black roof,any,any,Water runoff quality,urban,socio-environmental,0.001,-5,2017 €/m2,,40,all years,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,annual average,residential,black roof,any,any,Urban noise reduction,urban,socio-environmental,1.85,4,2017 €/m2, ,40,all years,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,annual average,residential,black roof,any,any,Biodiversity enhancement,urban,socio-environmental,0.54,-6,2017 €/m2,,40,1,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,summer,residential,black roof,insulated,any,Energy consumption reduction,building,financial,-0.25,3,2017 €/m2,"Energy building simulation, assuming natural gas (0.06€/kWh) and electricity (0.16€/kWh) market prices",40,all years,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,winter,residential,black roof,insulated,any,Energy consumption reduction,building,financial,0.06,4,2017 €/m2,"Energy building simulation, assuming natural gas (0.06€/kWh) and electricity (0.16€/kWh) market prices",40,all years,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,summer,residential,black roof,non-insulated,any,Energy consumption reduction,building,financial,-0.62,8,2017 €/m2,"Energy building simulation, assuming natural gas (0.06€/kWh) and electricity (0.16€/kWh) market prices",40,all years,Csa,Europe,Portugal,Lisbon,cost
Extensive green roof,,winter,residential,black roof,non-insulated,any,Energy consumption reduction,building,financial,0.17,5,2017 €/m2,"Energy building simulation, assuming natural gas (0.06€/kWh) and electricity (0.16€/kWh) market prices",40,all years,Csa,Europe,Portugal,Lisbon,cost
