Location,Installation cost [local curr/Wp],Inflation adjustment ratio [GDP deflator 2020/GDP deflator year],PPP Exchange rate [€ EU27-2020/ local currency-2020],Adjusted Installation cost [EU27 2020 €/Wp],Source,Installation cost [local curr/Wp]2,Inflation adjustment ratio [GDP deflator 2020/GDP deflator year]2,PPP Exchange rate [€ EU27-2020/ local currency-2020]2,Adjusted Installation cost [EU27 2020 €/Wp]2,source 2,Installation cost [local curr/Wp]3,Inflation adjustment ratio [GDP deflator 2020/GDP deflator year]3,PPP Exchange rate [EU27 2020 €/ local currency-2020]32,Adjusted Installation cost [EU27 2020 €/Wp]3,Source 3,Min installation (turnkey) PV cost [EU27 2020 €/Wp],Max installation (turnkey) PV cost [EU27 2020 €/Wp],Min maintenance PV cost [EU27 2020 €/Wp],Max maintenance PV cost [EU27 2020 €/Wp],Optimal slope [°],Optimal azimuth [°],"Yearly energy yield of 1 PV panel
 [kWh/year]","PV horizontal area 
[m2]",Latitude,Longitude,Min solar azimuth [°],Min sun elevation [°],Inter-row distance [cm],PV-GR area [m2],PV (projected) area [m2],% Area with PV panel [%],"Installed power 
in a m2 of PV-GR [kWp/m2 of PV-GR]","Yearly energy yield 
of a m2 of PV-GR 
[kWh/m2 of PV-GR/year]",Min installation (turnkey) costs of PV-GR [EU27 2020 €/m2 of PV-GR],Max installation (turnkey) costs of PV-GR [EU27 2020 €/m2 of PV-GR],Min maintenance cost of PV-GR [EU27 2020 €/m2 of PV-GR],Max maintenance cost of PV-GR [EU27 2020 €/m2 of PV-GR],Retail electricity price in 2020 [EU27 2020 €/kWh] ,Feed-in tariff [€/kWh] ,Sources,Yearly avoided costs for a m2 of PV-GR [EU27 2020 €/m2 of PV-GR/year],Country,Continent,Climate
"Lisbon (Bairro do Armador School), Portugal (Almeida et al, 2021)",0.7,1.041568356,1.173070845,0.85528343,(2018 data) National Survey Reports Archive - IEA-PVPS,0.8,1.041568356,1.173070845,0.977466778,(2018 data) National Survey Reports Archive - IEA-PVPS,0.60992,1,1.173070845,0.71547937,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.71547937,0.977466778,0.014309587,0.019549336,33,5,540.05,1.369968373,38.744089,-9.120811,40,15,154.1506901,3.913454759,1.369968373,0.300066235,0.074470712,118.2879644,53.28225794,72.79264667,1.065645159,1.455852933,0.281009121,0.301479207,"https://www.statista.com/statistics/418111/electricity-prices-for-households-in-portugal/

http://www.res-legal.eu/search-by-country/portugal/single/s/res-e/t/promotion/aid/feed-in-tariff-tarifas-feed-in/lastp/179/",33.2399969,Portugal,Europe,Csa
"Lisbon (Escola Básica Manuel Teixeira Gomes), Portugal (Almeida et al, 2021)",0.7,1.041568356,1.173070845,0.85528343,(2018 data) National Survey Reports Archive - IEA-PVPS,0.8,1.041568356,1.173070845,0.977466778,(2018 data) National Survey Reports Archive - IEA-PVPS,0.60992,1,1.173070845,0.71547937,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.71547937,0.977466778,0.014309587,0.019549336,33,4,542.2,1.369968373,38.752941,-9.110935,40,15,154.1506901,3.913454759,1.369968373,0.300066235,0.074470712,118.7588821,53.28225794,72.79264667,1.065645159,1.455852933,0.281009121,0.301479207,"https://www.statista.com/statistics/418111/electricity-prices-for-households-in-portugal/

http://www.res-legal.eu/search-by-country/portugal/single/s/res-e/t/promotion/aid/feed-in-tariff-tarifas-feed-in/lastp/179/",33.37232908,Portugal,Europe,Csa
"London, UK",0.821,1,0.955005153,0.784059231,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),1.03,1.055670959,0.955005153,1.038416342,(2019 data) http://trinomics.eu/wp-content/uploads/2020/11/Final-Report-Cost-of-Energy-LCOE.pdf (p.18),None,None,None,None,None,0.784059231,1.038416342,0.015681185,0.020768327,40,-5,349.82,1.251333598,51.507507,-0.127371,40,5,557.1920042,10.44500167,1.251333598,0.069802144,0.018965949,19.51373014,14.87042732,19.69455129,0.297408546,0.393891026,0.210292135,,https://www.statista.com/statistics/418126/electricity-prices-for-households-in-the-uk/,4.103583969,United Kingdom,Europe,Cfb
"Rome, Italy",0.7,1.01196671,1.007941728,0.714002432,(2019 data) National Survey Reports Archive - IEA-PVPS,0.8,1.01196671,1.007941728,0.81600278,(2019 data) National Survey Reports Archive - IEA-PVPS,0.7135,1,1.007941728,0.719166423,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.714002432,0.81600278,0.014280049,0.016320056,40,-5,510.1,1.251333598,41.90267803,12.49627461,40,13,211.1507156,4.735320406,1.251333598,0.214255318,0.058215338,87.34012873,41.56589271,47.50387739,0.831317854,0.950077548,0.224367829,0.05,"https://www.statista.com/statistics/596361/electricity-household-price-italy/; 
RSE Report (average zonal price)",19.59631505,Italy,Europe,Csa
"Santa Cruz de Tenerife, Spain",0.55,1,1.081149486,0.594632217,(2020 data) National Survey Reports Archive - IEA-PVPS,0.75,1,1.081149486,0.810862114,(2020 data) National Survey Reports Archive - IEA-PVPS,0.67897,1,1.081149486,0.734068066,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.594632217,0.810862114,0.011892644,0.016217242,25,3,624.78,1.48045377,28.46106399,-16.27940796,45,27.5,56.83184828,2.418179267,1.48045377,0.56221837,0.129118686,237.2669789,76.77813071,104.697451,1.535562614,2.093949019,0.309641213,,https://www.statista.com/statistics/418085/electricity-prices-for-households-in-spain/,73.46763508,Spain,Europe,Bsh
"Amsterdam, The Netherlands",0.85389,1,0.864121395,0.737864618,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),None,None,None,None,None,None,None,None,None,None,0.737864618,None,0.014757292,None,39,2,350.91,1.269467928,52.36810886,4.900342551,40,5,545.5181224,10.27051695,1.269467928,0.073603119,0.019713031,20.34558723,14.54554798,None,0.29091096,None,0.120890583,,https://www.statista.com/statistics/418106/electricity-prices-for-households-in-netherlands/,2.459589905,The Netherlands,Europe,Cfb
"Sevilla, Spain",0.55,1,1.081149486,0.594632217,(2020 data) National Survey Reports Archive - IEA-PVPS,0.75,1,1.081149486,0.810862114,(2020 data) National Survey Reports Archive - IEA-PVPS,0.67897,1,1.081149486,0.734068066,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.594632217,0.810862114,0.011892644,0.016217242,34,1,563.49,1.354232875,37.38832391,-5.986301081,42,16,143.4742179,3.72155747,1.354232875,0.313888744,0.078806367,130.6076465,46.86080479,63.90109745,0.937216096,1.278021949,0.309641213,,https://www.statista.com/statistics/418085/electricity-prices-for-households-in-spain/,40.44151004,Spain,Europe,Csa
"Trieste, Italy",0.7,1.01196671,1.007941728,0.714002432,(2019 data) National Survey Reports Archive - IEA-PVPS,0.8,1.01196671,1.007941728,0.81600278,(2019 data) National Survey Reports Archive - IEA-PVPS,0.7135,1,1.007941728,0.719166423,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.714002432,0.81600278,0.014280049,0.016320056,39,-1,448.46,1.269467928,45.63335168,13.80000515,40,10,270.6712907,5.735544225,1.269467928,0.171333474,0.045888029,60.52631028,32.76416433,37.44475923,0.655283287,0.748895185,0.224367829,0.05,"https://www.statista.com/statistics/596361/electricity-household-price-italy/; 
RSE Report (average zonal price)",13.58015682,Italy,Europe,Cfa
"Ancona, Italy",0.7,1.01196671,1.007941728,0.714002432,(2019 data) National Survey Reports Archive - IEA-PVPS,0.8,1.01196671,1.007941728,0.81600278,(2019 data) National Survey Reports Archive - IEA-PVPS,0.7135,1,1.007941728,0.719166423,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.714002432,0.81600278,0.014280049,0.016320056,35,-1,469.48,1.338084864,43.61590078,13.51920716,40,12,204.6472656,4.714764747,1.338084864,0.233807345,0.05940916,82.03356541,42.41828443,48.47803935,0.848365689,0.969560787,0.224367829,0.05,"https://www.statista.com/statistics/596361/electricity-household-price-italy/; 
RSE Report (average zonal price)",18.40569296,Italy,Europe,Cfa
"Palermo, Italy",0.7,1.01196671,1.007941728,0.714002432,(2019 data) National Survey Reports Archive - IEA-PVPS,0.8,1.01196671,1.007941728,0.81600278,(2019 data) National Survey Reports Archive - IEA-PVPS,0.7135,1,1.007941728,0.719166423,(2020 data) Sustainability | Free Full-Text | A European Assessment of the Solar Energy Cost: Key Factors and Optimal Technology | HTML (mdpi.com),0.714002432,0.81600278,0.014280049,0.016320056,32,-3,516.94,1.385286565,38.13450189,13.35131917,42,16,135.9633706,3.62868218,1.385286565,0.331760236,0.081426098,123.801198,58.13843232,66.44392265,1.162768646,1.328878453,0.224367829,0.05,"https://www.statista.com/statistics/596361/electricity-household-price-italy/; 
RSE Report (average zonal price)",27.777006,Italy,Europe,Csa
