Technology,Green roof type,Plant species,Irrigation,PV panel type,PV panels and GR locations,Distance PV-green roof [cm],Distance PV-basecase roof [cm],Season,Base case roof situation,Building type,Base case roof,Base case insulation,Roof slope,Item,Item type,Item scale,Item class,Original monetary value,u.m.,Original year(s) at which the item is accounted,Green roof lifetime [years],Actual year(s) at which the item is accounted,Actual monetary value at the accounting year,Inflation adjustment ratio [GDP deflator 2020/GDP deflator year],PPP Exchange rate [€ EU27-2020/ local currency-2020],Adjusted Monetary value [EU27 2020 €/m2],Method for monetary value,Quantiative absolute evaluation,u.m.3,Method for absolute evaluation,Quantiative absolute evaluation 2,u.m. 3,Method for absolute evaluation 2,Climate,Continent,Country,City,Authors,Year,Title,Study type,"WTP Correction factor [GDPpc,EU27-year/GDPpc,country-year)",Unusable monetary value,Case-study ID,Old inflation correction,Old PPP exchange,Old adjusted value
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,office,black roof,,,Aesthetics increase,benefit,building,economic,0.65,2015 US$/m2,every year,50,0,32.5,1.086,0.668,23.58084904,Benefit transfer (based on hedonic pricing),,% increase in property value,,,,,Dfb,North America,USA,"Grand Rapids, MI","Nordman et al,",2018,"Benefit-cost analysis of stormwater green infrastructure practices for Grand Rapids, Michigan, USA",Cost-Benefit Analysis,,,Nordman - Grand Rapids,2.181460776,0.719,50.97528467
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,2.6,2012 US$/m2,0,40,0,2.6,1.136,0.668,1.973705429,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,2.514578536
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,2.6,2012 US$/m2,0,55,0,2.6,1.136,0.668,1.973705429,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,2.514578536
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,8.3,2012 US$/m2,0,40,0,8.3,1.136,0.668,6.300675025,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,8.027308403
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,8.3,2012 US$/m2,0,55,0,8.3,1.136,0.668,6.300675025,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,8.027308403
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,27.99,2019 €/m2,0,40,0,27.99,1.012,1.008,28.54989725,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Trieste,1,1.004484305,28.1155157
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,urban,economic,27.99,2019 €/m2,0,40,0,27.99,1.012,1.008,28.54989725,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Trieste,1,1.004484305,28.1155157
Green roof,Extensive,Sedum and aromatic plants,not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,building,economic,28.19,2017 €/m2,0,40,0,28.19,1.031,1.008,30.2197513,WTP stated preference (using intermediate values from literature),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2018,Enhancing the environmental performance of industrial settlements. An economic evaluation of extensive green roof competitiveness,Cost-Benefit Analysis,1.03,,Berto 2018- Trieste,1.619024104,0.995652174,45.44185345
Green roof,Extensive,Sedum and aromatic plants,not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,building,economic,28.19,2017 €/m2,0,40,0,28.19,1.031,1.008,30.2197513,WTP stated preference (using intermediate values from literature),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2018,Enhancing the environmental performance of industrial settlements. An economic evaluation of extensive green roof competitiveness,Cost-Benefit Analysis,1.03,,Berto 2018- Trieste,1.619024104,0.995652174,45.44185345
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,48.62,2019 €/m2,0,40,0,48.62,1.012,1.008,49.59256893,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Csa,Europe,Italy,Palermo,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Palermo,1,1.004484305,48.83802691
